Name,City,State,Manager,"Vintage Year","Fund Size","Average Investment","Investment Strategy","Fund Style","Making New Investments?","Investor Relations Name","Investor Relations Email","Investor Relations Phone"
"Argentum Capital Partners IV, L.P.","New York",NY,"Argentum Fund Management, LLC",2020,198291250,4463944,"Hybrid Debt/Equity",Hybrid,Yes,"Steven Berman",sdberman@argentumgroup.com,212-949-8511
"Argentum Capital Partners IV, LP","New York",NY,"Argentum Fund Management, LLC",2020,99570000,,"Growth Equity","Private Equity",Yes,"Steven Berman",sdberman@argentumgroup.com,"(212) 949-8511"
"Argosy Investment Partners IV, L.P.",Wayne,PA,"Argosy Private Equity",2009,57927487,812487,"Hybrid Debt/Equity",Hybrid,No,"Kirk Griswold",kirk@argosycapital.com,"(610) 971-9685"
"Argosy Investment Partners SBIC 7, L.P.",Wayne,PA,"Argosy Management LP",2025,175000000,,Mezzanine,"Private Equity",Yes,"Lane Wiggers",lwiggers@argosycapital.com,610-971-9685
"Argosy Investment Partners SBIC VI, L.P.",Wayne,PA,"Argosy Private Equity",2020,350000000,10657699,Buyout,"Private Equity",Yes,"Michael Bailey",mbailey@argosycapital.com,"(610) 971-9685"
"Argosy Investment Partners V, L.P.",Wayne,PA,"Argosy Private Equity",2014,61696171,4411110,Buyout,"Private Equity",No,"Kirk Griswold",kirk@argosycapital.com,"(610) 971-9685"
"Avante Capital Partners SBIC III, L.P.","Los Angeles",CA,"Avante Capital Partners",2021,253882884,3276421,"Direct Lending","Private Credit",Yes,"Brianna Wener",brianna@avantecap.com,"(310) 667-9242"
"Avante Capital Partners SBIC III-A, L.P.","Los Angeles",CA,"Avante Capital Partners",2021,138810858,1102258,"Direct Lending",Hybrid,Yes,"Brianna Wener",brianna@avantecap.com,"(310) 667-9242"
"Avante Capital Partners SBIC IV, L.P.","Los Angeles",CA,"Avante Capital Partners",2025,41850000,,"Direct Lending","Private Credit",Yes,"Gladys Cordova",gladys@avantecap.com,"(310) 667-9242"
"Avante Mezzanine Partners SBIC II, L.P.","Los Angeles",CA,"Avante Capital Partners",2015,121327040,3894559,"Direct Lending","Private Credit",No,"Brianna Wener",brianna@avantecap.com,"(310) 667-9242"
"Avante Mezzanine Partners SBIC, L.P.","Los Angeles",CA,"Avante Capital Partners",2010,17992461,3387378,Mezzanine,"Private Credit",No,"Brianna Wener",brianna@avantecap.com,"(310) 667-9242"
"Balance Point Capital Partners II, L.P.",Westport,CT,"Balance Point Capital",2015,103036478,3431865,Multiple,"Private Credit",No,"Seth Alvord",salvord@balancepointcapital.com,"(203) 652-8255"
"Balance Point Capital Partners IV, L.P.",Westport,CT,"Balance Point Capital",2020,281313131,6052793,Mezzanine,"Private Credit",Yes,"Seth Alvord",salvord@balancepointcapital.com,"(203) 652-8255"
"Balance Point Capital Partners VII, L.P.",Westport,CT,"Balance Point Capital Advisors, LLC",2025,226320000,,Mezzanine,"Private Credit",Yes,"Seth Alvord",salvord@balancepointcapital.com,203-652-8255
"Ballast Point Ventures III, L.P.",Tampa,FL,"BPV Management, LLC",2014,96319250,1807236,Venture,Venture,No,"Paul Johan",pjohan@ballastpointventures.com,813-906-8500
"Ballast Point Ventures III, LP","St. Petersburg",FL,"BPV Management, LLC",2014,160765000,,"Growth Equity","Private Equity",Yes,"Paul Johan",pjohan@ballastpointventures.com,"(813) 906-8500"
"Ballast Point Ventures IV, L.P.",Tampa,FL,"BPV Management, LLC",2021,171492000,3784225,Venture,Venture,Yes,"Paul Johan",pjohan@ballastpointventures.com,813-906-8500
"Ballast Point Ventures IV, LP",Tampa,FL,"BPV Management, LLC",2021,190000000,,"Growth Equity","Private Equity",Yes,"Paul Johan",pjohan@ballastpointventures.com,"(813) 906-8500"
"Barings Small Business Fund II, LP",Charlotte,NC,Barings,2025,50560195,,Mezzanine,"Private Credit",Yes,"Scott Chappell",scott.chappell@barings.com,980-433-2657
"Barings Small Business Fund, L.P.",Charlotte,NC,Barings,2021,206312029,1823809,Mezzanine,Hybrid,Yes,"Scott Chappell",schappell@babsoncapital.com,"(704) 805-7671"
"Bayview Capital Partners III LP",Minnetonka,MN,"Tonka Bay Equity Partners LLC",2012,54701250,754165,Buyout,"Private Equity",No,"Shane Slominski",sslominski@tonkabayequity.com,"(952) 345-2032"
"Bayview Capital Partners IV LP",Minnetonka,MN,"Tonka Bay Equity Partners LLC",2020,158625000,3914500,Buyout,"Private Equity",Yes,"Steven Soderling",ssoderling@tonkabayequity.com,"(952) 345-2031"
"BBK Ventures Fund I, LP",Dallas,TX,"BBK Ventures GP, LLC",2024,206657500,,Multiple,"Fund of Funds",Yes,"Nick Breedlove",nick@bbkcap.com,619-410-3334
"BIP III SBIC, LP",McLean,VA,"Bluestone Investment Manager, LLC",2024,75000000,13500000,Buyout,"Private Equity",Yes,"John Allen",jallen@bluestoneinv.com,202-251-3646
"Blue Sage Capital II, L.P.",Austin,TX,"Blue Sage Capital",2013,56102997,3783832,"Hybrid Debt/Equity",Hybrid,No,"Alan Mire",alan.mire@bluesage.com,"(512) 536-1902"
"Blue Sage Strategic Credit Fund, L.P.",Austin,TX,"Blue Sage Capital",2025,112037667,,"Hybrid Debt/Equity",Hybrid,Yes,"Peter Huff",peter.huff@bluesage.com,512-536-1902
"Bluehenge Capital SBIC II, L.P.","Baton Rouge",LA,"Bluehenge Capital Partners",2022,122850000,6645186,Mezzanine,"Private Credit",Yes,"Ari Kocen",adkocen@bluehenge.com,"(225) 615-3348"
"Bluehenge Capital SBIC III, L.P.","Baton Rouge",LA,"Bluehenge Capital Management, LLC",2025,57570000,,Mezzanine,"Private Credit",Yes,"Ari Kocen",adkocen@bluehenge.com,225-615-3348
"Bluehenge Capital SBIC III, LP","Baton Rouge",LA,"Bluehenge Capital Management, LLC",2025,37375000,,Mezzanine,"Private Credit",Yes,"Ari Kocen",adkocen@bluehenge.com,225-615-3348
"Bluehenge Capital Secured Debt SBIC, LP","New York",LA,"Bluehenge Capital Partners",2015,82344882,2735719,Mezzanine,"Private Credit",No,"Ari Kocen",adkocen@bluehenge.com,"(225) 615-3348"
"Bluhaus Small Business Fund II, LP",Guaynabo,PR,"Bluhaus Capital",2024,20024876,,Multiple,Hybrid,Yes,"Eduardo Inclan",einclan@bhcapllc.com,787-708-6747
"Bluhaus Small Business Fund, L.P.","San Juan",PR,"Bluhaus Capital",2020,50625000,1565345,Buyout,"Private Credit",Yes,"Eduardo Inclan",einclan@bhcapllc.com,"(787) 708-6747"
"Boathouse Capital II LP",Wayne,PA,"Boathouse Capital",2014,143816861,1705764,"Hybrid Debt/Equity",Hybrid,No,"Kenneth Jones",ken.jones@boathousecapital.com,"(610) 977-2787"
"Boathouse Capital III LP",Wayne,PA,"Boathouse Capital",2021,298000000,4746158,"Hybrid Debt/Equity",Hybrid,Yes,"Brian Adamsky",brian.adamsky@boathousecapital.com,"(610) 263-2818"
"Boathouse Capital IV LP",Berwyn,PA,"Boathouse Capital",2025,60500000,,"Hybrid Debt/Equity",Hybrid,Yes,"Brian Adamsky",brian.adamsky@boathousecapital.com,610-977-2788
"Boathouse Capital LP",Wayne,PA,"Boathouse Capital",2010,23451403,726437,Mezzanine,Hybrid,No,"Kenneth Jones",ken.jones@boathousecapital.com,"(610) 977-2787"
"BRC Fund IV, LP",Minnetonka,MN,"Brass Ring Capital, Inc.",2025,35523948,,Buyout,"Private Equity",Yes,"William Grindell",wlg@brassringcapital.com,612-844-2683
"Brightwood Capital SBIC III, L.P.","New York",NY,"Brightwood Capital",2022,190030000,3106828,"Direct Lending","Private Credit",Yes,"Sengal Selassie",selassie@brightwoodlp.com,"(646) 957-9534"
"Brightwood Capital SBIC IV, LP","New York",NY,"Brightwood Capital Advisors, LLC",2025,175000000,,"Direct Lending","Private Credit",Yes,"Sengal Selassie",selassie@brightwoodlp.com,646-957-9525
"Brookside Capital Fund V SBIC, L.P.",Stamford,CT,"Brookside Capital Partners",2023,350560000,3484636,Mezzanine,"Private Credit",Yes,"Corey Sclar",csclar@brooksidecp.com,"(203) 595-4530"
"Brookside Mezzanine Fund III, L.P.",Stamford,CT,"Brookside Capital Partners",2013,95115278,2533525,Mezzanine,"Private Credit",No,"David Buttolph",dbuttolph@brooksidecp.com,"(203) 595-4530"
"Brookside Mezzanine Fund IV, L.P.",Stamford,CT,"Brookside Capital Partners",2019,371965000,3709804,Mezzanine,"Private Credit",No,"Corey Sclar",csclar@brooksidecp.com,"(203) 595-4530"
"BSCP SBIC I, LP",Alexandria,VA,"Boundary Street Capital",2020,329108214,6913770,"Direct Lending","Private Credit",Yes,"Rashad Kawmy",rashad@boundarystreetcapital.com,"(703) 837-6021"
"BSCP SBIC II, LP",Alexandria,VA,"Boundary Street Capital",2023,113411998,5762500,"Direct Lending","Private Credit",Yes,"Rashad Kawmy",rashad@boundarystreetcapital.com,"(703) 837-6021"
"BY Capital 3 (US), LP","Little Rock",AR,"BlueYard Capital",2026,30000000,,Venture,Venture,Yes,"David Byrd",david@blueyard.com,408-857-4330
"C3 Capital Partners II, L.P.","Kansas City",MO,"C3 Capital, LLC",2008,52445000,115243,Mezzanine,Hybrid,No,"Julie Webb",jwebb@c3cap.com,"(816) 756-2225"
"C3 Capital Partners III, L.P.","Kansas City",MO,"C3 Capital, LLC",2012,59850857,547903,Mezzanine,Hybrid,No,"Julie Webb",jwebb@c3cap.com,"(816) 756-2225"
"C3 Capital Partners, LP","Kansas City",MO,"C3 Capital, LLC",2004,18257778,100655,Mezzanine,Hybrid,No,"Julie Webb",jwebb@c3cap.com,"(816) 756-2225"
"Caltius Equity Partners V, LP","Los Angeles",CA,"Caltius Structured Capital",2025,106825000,,Multiple,"Private Equity",Yes,"James Upchurch",jupchurch@caltius.com,310-996-9585
"Caltius Partners V (SBIC), L.P.","Los Angeles",CA,"Caltius Structured Capital",2016,139500000,4990952,Mezzanine,Hybrid,No,"James B. Upchurch",jupchurch@caltius.com,310-996-9572
"Caltius Partners V (SBIC), LP","Los Angeles",CA,"Caltius Structured Capital",2016,78675000,,Multiple,"Private Credit",Yes,"James Upchurch",jupchurch@caltius.com,"(310) 996-9572"
"Caltius Partners VI (SBIC), L.P.","Los Angeles",CA,"Caltius Structured Capital",2022,249090000,5220646,Mezzanine,Hybrid,Yes,"James Upchurch",jupchurch@caltius.com,310-996-9572
"Cambridge Ventures, LP",Indianapolis,IN,"Cambridge Ventures, Inc.",1991,5874104,352857,Venture,Venture,Yes,"Jean Wojtowicz",jwojtowicz@cambridgecapitalmgmt.com,"(317) 814-6192"
"Canapi Ventures SBIC Fund II, L.P.",Washington,DC,"Canapi Ventures",2022,269607907,2643736,"Balanced Venture",Venture,Yes,"Walker Forehand",sara@canapi.com,202-315-1818
"Canapi Ventures SBIC Fund II, LP",Washington,DC,"Canapi Ventures",2022,272334119,,Venture,Hybrid,Yes,"Walker Forehand",walker.forehand@canapi.com,(202)315-1818
"Canapi Ventures SBIC Fund, L.P.",Washington,DC,"CenterHarbor Canapi Ventures Investment Advisors LLC",2020,524335318,8021693,Venture,Venture,Yes,"Walker Forehand",walker.forehand@canapi.com,(202)315-1818
"Capital Alignment Partners IV-A, L.P.",Nashville,TN,"Capital Alignment Partners",2023,204068748,5388921,Mezzanine,"Private Equity",Yes,"Burton Harvey",bharvey@capfunds.com,"(615) 915-1098"
"Capital Alignment Partners IV-B, L.P.",Nashville,TN,"Capital Alignment Partners",2023,84662500,1765354,Mezzanine,Hybrid,Yes,"Burton Harvey",bharvey@capfunds.com,615-915-1098
"Capital Alignment Partners IV-B, LP.",Nashville,TN,"Capital Alignment Partners",2023,84763157,,"Hybrid Debt/Equity","Private Credit",Yes,"Burton Harvey",bharvey@capfunds.com,"(615) 915-1098"
"Capital Southwest SBIC I, L.P.",Dallas,TX,"Capital Southwest Corporation",2021,217500000,5773137,"Direct Lending","Private Credit",Yes,"Michael Sarner",msarner@capitalsouthwest.com,"(214) 238-5700"
"Capital Southwest SBIC II, LP",Dallas,TX,"Capital Southwest Corporation",2025,87500000,,"Direct Lending","Private Credit",Yes,"Michael Sarner",msarner@capitalsouthwest.com,214-238-5700
"Capitala SBIC Fund VI, L.P.",Charlotte,NC,Capitala,2023,231220000,4597280,Multiple,Hybrid,Yes,"Joseph Alala, III",jalala@capitalagroup.com,"(704) 376-5502"
"CapitalSouth SBIC Fund IV, L.P.",Charlotte,NC,"Capital Private Advisors, LLC",2013,151651055,2249951,Mezzanine,Hybrid,No,"Joseph Alala, III",jalala@capitalagroup.com,"(704) 376-5502"
"CapitalSpring SBIC II, L.P.",Nashville,TN,CapitalSpring,2023,159279667,13728719,"Hybrid Debt/Equity",Hybrid,Yes,"Richard Fitzgerald",rfitzgerald@capitalspring.com,"(646) 651-2122"
"Catalyst Investors VI SBIC, L.P.","New York",NY,"Catalyst Investors, L.L.C.",2026,140000000,,"Growth Equity","Growth Equity",Yes,"Brian Rich",brian@catalyst.com,212-863-4848
"CCP IV-SBIC, L.P.",Indianapolis,IN,"Centerfield Capital Partners",2016,251861732,2982415,Mezzanine,"Private Credit",No,"Faraz Abbasi",faraz@centerfieldcapital.com,"(317) 513-2763"
"CCP V-SBIC, L.P.",Indianapolis,IN,"Centerfield Capital Partners",2022,304748198,5759593,Mezzanine,Hybrid,Yes,"Faraz Abbasi",faraz@centerfieldcapital.com,"(317) 513-2763"
"CCP VI-SBIC, L.P.",Indianapolis,IN,"Centerfield Management VI, Inc.",2025,256979700,,"Hybrid Debt/Equity",Hybrid,Yes,"Faraz Abbasi",faraz@centerfieldcapital.com,317-513-2763
"Central Valley Fund III (SBIC), L.P.",Davis,CA,"CVF Capital Partners",2017,111800500,1008711,Mezzanine,Hybrid,No,"Edward F. McNulty",emcnulty@cvfcapitalpartners.com,530-757-7004
"Cephas Capital Partners III, LP",Pittsford,NY,"Chephas, LLC",2020,24850000,2388429,Mezzanine,"Private Credit",Yes,"Clint W. Campbell",ccampbell@cephascapital.com,"(585) 383-1610"
"CFB Venture Fund L.P.","Saint Louis",MO,"CFB Partners, LLC",1983,95650000,571195,"Growth Equity","Growth Equity",No,"Bill Witzofsky",bill.witzofsky@cfb.com,"(314) 746-7427"
"Champlain Capital Partners II, L.P.","San Francisco",CA,"Champlain Capital Partners",2014,61871194,2325688,"Hybrid Debt/Equity",Hybrid,No,"Dennis Leary",dleary@champlaincapital.com,"(415) 281-4181"
"Champlain Capital Partners III, L.P.","San Francisco",CA,"Champlain Capital Partners",2019,260200000,5684023,"Growth Equity","Growth Equity",No,"Dennis Leary",dleary@champlaincapital.com,"(415) 281-4181"
"Champlain Capital Partners IV, L.P.","San Francisco",CA,"Champlain Capital Partners",2023,224997320,14237899,"Growth Equity","Growth Equity",Yes,"Dennis Leary",dleary@champlaincapital.com,"(415) 281-4181"
"Charger Investment Partners Catalyst Fund, LP","El Segundo",CA,"Charger Investment Partners, LP",2025,113375000,,"Hybrid Debt/Equity","Private Equity",Yes,"Aaron Perlmutter",amp@chargerinv.com,310-372-5525
"Charter Growth Capital Fund II, L.P.","Grand Rapids",MI,"Growth Capital Management LLC",2024,61000000,,Mezzanine,Hybrid,Yes,"Michael Palm",mpalm@chartercapitalpartners.com,616-235-3555
"Concentric Partners I, L.P.",Raleigh,NC,"Concentric Investment Partners",2021,230618572,4797735,Mezzanine,"Private Credit",Yes,"Corbin Graves",cgraves@concentricpartners.com,"(919) 619-3238"
"Concentric Partners II, L.P.",Raleigh,NC,"Concentric Investment Partners",2026,67500000,,Mezzanine,"Private Credit",Yes,"Matthew Young",myoung@concentricpartners.com,919-264-3966
"Convergent Capital Partners III, L.P.",Scottsdale,AZ,"CC Management, LLC",2014,32100000,1508736,Mezzanine,Hybrid,No,"Keith Bares",kbares@cvcap.com,"(763) 432-4081"
"Convergent Capital Partners IV, LP",Minneapolis,MN,"MinCal Management, Inc.",2020,165703875,3628153,Mezzanine,"Private Credit",Yes,"Matthew Grossman",mgrossman@cvcap.com,"(763) 432-4083"
"Convergent Capital Partners V, L.P.","Eden Prairie",MN,"MinCal Management, Inc.",2026,34877453,,Mezzanine,"Private Credit",Yes,"John Chan",jchan@cvcap.com,763-432-4080
"Corbel Capital Partners SBIC II, L.P.","Los Angeles",CA,"Corbel Capital",2022,344925642,6450609,"Hybrid Debt/Equity","Private Credit",Yes,"Michael Jones",michael@corbelcap.com,"(310) 299-2476"
"Corbel Capital Partners SBIC, L.P.","Los Angeles",CA,"Corbel Capital",2017,298208903,3391177,"Hybrid Debt/Equity","Private Credit",No,"Jeffrey Schwartz",jeff@corbelcap.com,"(310) 442-7011"
"Corbel Equity Partners SBIC, L.P.","Los Angeles",CA,"Corbel Capital",2024,127400000,3391177,Buyout,"Private Equity",Yes,"Michael Jones",michael@corbelcap.com,310-299-2476
"Costella Kirsch SBIC, LP","Menlo Park",CA,"Costella Kirsch SBIC GP, LLC",2025,33120682,,"Direct Lending","Private Credit",Yes,"Jill Koziol",jill@costellakirsch.com,650-462-5792
"Courage Healthcare SBIC Fund I, L.P.",Nashville,TN,"Courage Capital Management, LLC",2025,156250000,,"Hybrid Debt/Equity","Private Credit",Yes,"Lars Larsen",elarsen@couragecap.com,615-344-0114
"Crescent Direct Lending SBIC Fund, L.P.",Boston,MA,"Crescent SBIC Management, LLC",2015,81313131,1319144,"Direct Lending","Private Credit",No,"Michael Rogers",michael.rogers@crescentcap.com,"(617) 854-1501"
"Cultivation Capital Seed Fund III GP, LLC","St. Louis",MO,"Cultivation Twain Seed Fund III Manager, LLC",2024,13150500,218750,Venture,Venture,Yes,"Brian Matthews",bmatthews@cultivationcapital.com,314-565-8062
"Cultivation Twain Seed Fund I, L.P.","St. Louis",MO,"Cultivation Twain Seed Fund I Manager, LLC",2018,10915584,217910,"Early Venture",Venture,No,"Ricky Vigil",bmatthews@cultivationcapital.com,314-565-8062
"Cultivation Twain Seed Fund I, LP","St. Louis",MO,"Cultivation Twain Seed Fund III Manager, LLC",2018,13747500,,Venture,Venture,Yes,"Brian Matthews",bmatthews@cultivationcapital.com,"(314) 565-8062"
"Cyprium SBIC I, L.P.",Cleveland,OH,"Cyprium Investment Partners",2023,59975000,4375000,Mezzanine,Hybrid,Yes,"Daniel Kessler",dkessler@cyprium.com,"(216) 453-4533"
"Dauntless Ventures SBIC-A, L.P.",Provo,UT,"Dauntless Ventures",2025,29363750,,Venture,Venture,Yes,"Peter Koziol",pete@dauntlessvc.com,847-708-9360
"Dauntless Ventures SBIC-B, L.P.",Provo,UT,"Dauntless Ventures",2025,15811250,,Venture,Venture,Yes,"Peter Koziol",pete@dauntlessvc.com,847-708-9360
"DC Small Business Fund, LP","Jacksonville Beach",FL,"DC Small Business Management Company",2024,214797000,,Buyout,"Private Equity",Yes,"Brent Paris",paris@dynamiccorecapital.com,203-629-2030
"DCA Capital Partners II, L.P.",Roseville,CA,"DCA Partners",2016,20477750,1660000,"Growth Equity","Growth Equity",No,"Steven Mills",smills@dcapartners.com,"(916) 650-5352"
"DCA Capital Partners III SBIC, L.P.",Roseville,CA,"DCA Partners",2021,14646464,1025054,Buyout,"Private Equity",Yes,"Steven Mills",smills@dcacapital.com,916-650-5352
"DCA Capital Partners III SBIC, LP",Roseville,CA,"DCA Partners",2021,14646465,,"Growth Equity","Growth Equity",Yes,"Steven Mills",smills@dcapartners.com,"(916) 650-5352"
"Deerpath Funding Advantage IV, L.P.","Fort Lauderdale",FL,"Deerpath Capital",2016,218575000,770845,"Direct Lending","Private Credit",No,"James H. Kirby",jkirby@deerpathcapital.com,"(646) 786-1022"
"Deerpath Funding V, L.P.","Fort Lauderdale",FL,"Deerpath Capital",2021,259958487,1112375,"Direct Lending","Private Credit",Yes,"James H. Kirby",jkirby@deerpathcapital.com,"(646) 786-1022"
"Diamond State Ventures III, L.P.","Little Rock",AR,"Diamond State Ventures",2014,31961720,419667,Mezzanine,Hybrid,No,"Joe T. Hays, Managing Director",jhays@dsvlp.com,501-374-9247
"Dos Rios Partners, L.P.",Dallas,TX,"Dos Rios Partners",2013,62679026,894953,"Balanced Venture","Private Credit",No,"Kevin Benoit",kevin@dosriospartners.com,"(512) 298-1280"
"Dos Rios Partners-A, L.P.",Dallas,TX,"Dos Rios Partners",2013,62518976,894953,"Balanced Venture","Private Credit",No,"Kevin Benoit",kevin@dosriospartners.com,"(512) 298-1280"
"Eagle Fund III, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2012,43699852,1327432,Mezzanine,Hybrid,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund III, LP",Clayton,MO,"Eagle Private Capital, LLC",2012,36195452,,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,"(314) 754-1400"
"Eagle Fund III-A, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2012,25154548,387597,Mezzanine,Hybrid,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund III-A, LP","St. Louis",MO,"Eagle Private Capital, LLC",2012,45454548,,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,"(314) 754-1400"
"Eagle Fund IV, LP","St. Louis",MO,"Eagle Private Capital, LLC",2018,207042092,1695089,Mezzanine,Hybrid,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,"(314) 754-1400"
"Eagle Fund IV-A, L.P.","Saint Louis",MO,"Eagle Private Capital, LLC",2018,56906061,479723,Mezzanine,Hybrid,No,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund IV-A, LP","St. Louis",MO,"Eagle Private Capital, LLC",2018,60606061,,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,"(314) 754-1400"
"Eagle Fund V, L.P.","St. Louis",MO,"Eagle Private Capital, LLC",2022,254459818,2654695,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,"(314) 754-1400"
"Eagle Fund V-A, L.P.","St. Louis",MO,"Eagle Private Capital, LLC",2022,60606061,589563,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"Eagle Fund V-A, LP","St. Louis",MO,"Eagle Private Capital, LLC",2022,60606061,,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,"(314) 754-1400"
"Eagle Fund VI-A, LP","St. Louis",MO,"Eagle Private Capital VI, Inc",2024,299441311,6764531,Mezzanine,Hybrid,Yes,"Benjamin Geis",bgeis@eagleprivatecapital.com,314-754-1400
"East Coast Capital Holdings Ltd.","New York",NY,"Veritas Capital Service, LLC",1986,11915545,200562,"Direct Lending","Private Equity",No,"Yitzhak Zelmanovitch",yzelmanovitch@foundersimpact.com,"(212) 686-1515"
"Emigrant Capital Corporation","New York",NY,"Emigrant Capital Corporation",1999,51330537,829278,Multiple,Hybrid,No,"Christopher Staudt",staudtc@emigrant.com,"(212) 850-4470"
"Energy Impact Credit Fund I LP","New York",NY,"Energy Impact Partners LP",2018,165109841,5858460,"Hybrid Debt/Equity","Private Credit",No,"Hans Kobler",kobler@energyimpactpartners.com,"(212) 899-9700"
"Energy Impact Credit Fund II LP","New York",NY,"Energy Impact Partners LP",2022,140807828,9531175,"Hybrid Debt/Equity","Private Credit",Yes,"Charalampos Giovani",giovani@energyimpactpartners.com,"(212) 899-9714"
"Energy Impact Credit Fund III LP","New York",NY,"Energy Impact Partners LP",2026,43649707,,"Direct Lending","Private Credit",Yes,"Charalampos Giovani",giovani@energyimpactpartners.com,212-899-9700
"Enhanced SBIC II, L.P.","San Francisco",CA,"Tree Line Capital Partners, LLC",2020,239951862,1724472,"Direct Lending","Private Credit",Yes,"Tom Quimby",tquimby@treelinecp.com,"(415) 795-7580"
"Enhanced Small Business Investment Company, L.P.","New York",NY,"Enhanced Capital",2012,60853834,1797587,"Direct Lending","Private Credit",No,"Michael Korengold",mkorengold@enhancedcapital.com,"(212) 207-3385"
"Enlightenment Capital Solutions SBIC Fund, L.P.","Chevy Chase",MD,"Enlightenment Capital SBIC, LLC",2019,187280760,5115129,"Hybrid Debt/Equity","Private Credit",No,"Jason Rigoli",jfrigoli@enlightenment-cap.com,"(240) 752-9618"
"EPIC Venture Fund IV, LLC","Salt Lake City",UT,"Wasatch Management Partners, LLC",2009,19400000,297405,Venture,Venture,No,"Nick Efstratis",epic@cornerstone.vc,"(801) 524-8939"
"Escalate Capital IV, LP",Austin,TX,"EC Management Services, Inc.",2019,287936685,3942619,Mezzanine,"Private Equity",No,"William Schell",tony@escalatecapital.com,"(512) 695-4502"
"Escalate Capital V, LP",Austin,TX,"EC Management Services, Inc.",2024,317785610,,Mezzanine,"Private Equity",Yes,"William Schell",tony@escalatecapital.com,512-695-0546
"Everside Direct III, LP","New York",NY,"Everside Capital Partners, LLC",2026,25366666,,Mezzanine,"Private Credit",Yes,"Ben Bresnahan",ben@everside.com,646-603-3600
"Everside SBIC I, LP","New York",NY,Everside,2023,168508677,6327361,"Hybrid Debt/Equity",Hybrid,Yes,"Ben Bresnahan",ben@everside.com,6466033608
"Farragut SBIC Fund II, L.P.","Chevy Chase",MD,"Farragut Capital Partners",2018,180812500,2525092,Mezzanine,Hybrid,No,"Philip McNeill",pmcneill@farragutcapitalpartners.com,"(301) 913-5293"
"Farragut SBIC Fund III, LP","Chevy Chase",MD,"Farragut Capital Partners",2023,114950000,5230890,Mezzanine,"Private Equity",Yes,"Philip McNeill",pmcneill@farragutcapitalpartners.com,301-913-5293
